               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.090771,            0.027953,            0.037931,           0.0089455,             0.77249,            0.023758,           0.0060337,            0.046665,            0.013729,            0.033991,              0.0802,              0.0022,              0.0022
                   1,            0.060537,            0.025076,            0.027919,            0.013197,             0.99254,             0.38519,             0.13478,            0.033693,           0.0093984,            0.056144,            0.059455,           0.0044554,           0.0044554
                   2,            0.053049,            0.020205,            0.023364,            0.016577,                   1,             0.47669,              0.1878,            0.033592,           0.0063483,            0.066113,            0.038665,           0.0066654,           0.0066654
                   3,            0.052224,             0.01873,            0.020746,             0.02465,             0.99286,             0.46838,             0.19942,            0.036914,           0.0059426,            0.069727,             0.01783,           0.0088297,           0.0088297
                   4,             0.04975,            0.018448,            0.018923,            0.032915,             0.94904,             0.45158,             0.17224,             0.03298,           0.0064193,            0.073853,            0.009604,            0.009604,            0.009604
                   5,             0.04402,            0.017898,             0.01753,            0.026034,             0.70341,             0.14514,            0.043683,            0.043749,           0.0071204,            0.068171,            0.009604,            0.009604,            0.009604
                   6,            0.041541,            0.016447,            0.015827,            0.033081,             0.75501,             0.29054,             0.11867,            0.041572,           0.0065198,            0.075084,            0.009505,            0.009505,            0.009505
                   7,            0.049444,            0.017708,              0.0174,            0.058223,             0.80725,             0.27575,             0.09518,            0.041991,           0.0060097,            0.074704,            0.009406,            0.009406,            0.009406
                   8,            0.045868,            0.016764,            0.015702,            0.066008,              0.8436,             0.26214,             0.11001,            0.034447,           0.0064357,            0.078383,            0.009307,            0.009307,            0.009307
                   9,            0.047179,            0.018024,            0.018933,            0.090205,             0.69691,             0.29305,             0.10707,            0.041012,           0.0062099,            0.077459,            0.009208,            0.009208,            0.009208
                  10,            0.039844,            0.016694,            0.014972,             0.07778,             0.80821,             0.18797,            0.067274,            0.036975,           0.0066048,            0.081864,            0.009109,            0.009109,            0.009109
                  11,            0.042193,            0.016494,             0.01306,             0.10525,             0.66898,             0.24433,            0.088068,            0.039508,           0.0070035,            0.080144,             0.00901,             0.00901,             0.00901
                  12,            0.037557,            0.015859,            0.011736,             0.11832,             0.68326,             0.28889,            0.097853,            0.038355,           0.0062548,            0.077989,            0.008911,            0.008911,            0.008911
                  13,            0.041079,            0.016423,            0.011148,               0.091,             0.74947,             0.22173,             0.08386,            0.039728,           0.0064159,            0.083667,            0.008812,            0.008812,            0.008812
                  14,            0.038528,            0.017089,            0.015419,             0.10523,             0.68779,             0.27776,             0.10013,            0.033988,           0.0070034,            0.080821,            0.008713,            0.008713,            0.008713
                  15,            0.038293,            0.016083,            0.014664,             0.13541,             0.75075,             0.25182,            0.093554,            0.033228,           0.0065436,            0.082258,            0.008614,            0.008614,            0.008614
                  16,            0.035497,            0.015446,             0.01152,             0.11483,             0.74947,              0.2931,             0.10894,            0.037937,           0.0055885,            0.090482,            0.008515,            0.008515,            0.008515
                  17,            0.037981,            0.015601,             0.01023,             0.16215,             0.72644,             0.30732,             0.14697,            0.032739,           0.0056346,            0.094594,            0.008416,            0.008416,            0.008416
                  18,             0.03617,            0.016001,            0.011682,             0.17559,             0.71247,             0.32798,             0.14111,            0.038596,           0.0058303,            0.091842,            0.008317,            0.008317,            0.008317
                  19,            0.038456,            0.015804,           0.0085683,             0.19893,             0.76311,             0.29503,             0.13306,            0.033558,           0.0058289,            0.099452,            0.008218,            0.008218,            0.008218
                  20,            0.036505,            0.015696,           0.0091946,             0.23254,             0.77868,             0.37055,             0.17602,            0.027867,           0.0059417,            0.098315,            0.008119,            0.008119,            0.008119
                  21,            0.038101,            0.015193,           0.0073198,              0.2716,             0.69072,             0.36852,             0.16676,            0.034798,           0.0056863,            0.092362,             0.00802,             0.00802,             0.00802
                  22,             0.03914,            0.015739,           0.0098873,             0.19234,             0.64009,             0.26347,             0.12577,            0.031546,           0.0062197,             0.09435,            0.007921,            0.007921,            0.007921
                  23,            0.034085,            0.015295,            0.009174,             0.18898,             0.68913,             0.37454,             0.17439,            0.034074,           0.0058512,            0.085815,            0.007822,            0.007822,            0.007822
                  24,            0.035563,            0.015595,           0.0085495,             0.14499,             0.63913,             0.28155,             0.13129,            0.039569,           0.0065852,            0.089059,            0.007723,            0.007723,            0.007723
                  25,            0.035197,            0.014519,           0.0073448,             0.17247,             0.71898,             0.35046,             0.15673,            0.039264,           0.0060228,            0.096014,            0.007624,            0.007624,            0.007624
                  26,            0.034895,            0.015573,            0.011779,             0.21454,             0.77026,             0.35569,             0.15788,            0.038154,           0.0055226,             0.10046,            0.007525,            0.007525,            0.007525
                  27,            0.031644,            0.015619,           0.0089737,             0.31531,             0.72026,             0.39822,              0.2032,            0.028446,           0.0056881,             0.10037,            0.007426,            0.007426,            0.007426
                  28,             0.03522,            0.014992,           0.0075068,             0.28774,             0.67612,             0.39183,             0.17805,             0.02995,            0.005434,             0.10169,            0.007327,            0.007327,            0.007327
                  29,            0.039259,            0.015119,           0.0090859,              0.3158,             0.69232,             0.42774,             0.20451,             0.03003,           0.0054616,            0.094102,            0.007228,            0.007228,            0.007228
                  30,            0.035827,            0.015377,            0.010553,             0.26786,             0.66802,             0.38814,             0.18236,            0.035153,           0.0056882,            0.097189,            0.007129,            0.007129,            0.007129
                  31,            0.034161,             0.01482,           0.0079229,              0.2468,             0.76375,             0.36452,               0.159,            0.034437,            0.005767,            0.097597,             0.00703,             0.00703,             0.00703
                  32,            0.038733,            0.014665,            0.008369,             0.28233,             0.78646,             0.38982,              0.1765,            0.026868,           0.0058615,            0.093757,            0.006931,            0.006931,            0.006931
